outcome_name,Pitcher,Rest,Season WL,Season ERA,Season WHIP,Last 3 WL,Last 3 IP,Last 3 ERA,Last 3 WHIP,K,HR,Team WLCS,Streak WL,Streak O/U,id,commence_time,home_team,away_team,odds,imp_probability,true_probability
New York Mets,Quintana (L),5,1-1,3.05,1.50,1-0,16.00,2.81,1.44,12,1,3-1,L1,O4,df6d58d2d972646454db7798a9eed23a,2024-04-23 01:45:00+00:00,San Francisco Giants,New York Mets,100.0, 0.50%, 0.48%
San Francisco Giants,Winn (R),4,1-3,4.09,1.09,1-2,17.00,3.71,1.12,11,2,1-4,L1,O3,df6d58d2d972646454db7798a9eed23a,2024-04-23 01:45:00+00:00,San Francisco Giants,New York Mets,-120.0, 0.55%, 0.52%
Oakland Athletics,Sears (L),5,1-1,4.35,1.16,1-0,17.00,2.65,0.94,8,2,3-2,L3,O4,d6f47a21c9a0980edc331f403821b96a,2024-04-22 17:05:00+00:00,New York Yankees,Oakland Athletics,-1000.0, 0.91%, 0.86%
New York Yankees,Rodon (L),5,1-1,3.66,1.68,1-1,15.00,4.11,1.63,14,2,2-2,W1,O1,d6f47a21c9a0980edc331f403821b96a,2024-04-22 17:05:00+00:00,New York Yankees,Oakland Athletics,600.0, 0.14%, 0.14%
Detroit Tigers,Skubal (L),4,2-0,2.28,0.80,1-0,17.00,3.06,0.91,20,2,0-0,W1,U1,afb3c8409b38fe4c9e7be0cec5a6cae2,2024-04-22 22:50:00+00:00,Tampa Bay Rays,Detroit Tigers,-120.0, 0.55%, 0.52%
Tampa Bay Rays,Littell (R),4,1-0,2.14,1.33,0-0,15.00,3.00,1.47,16,1,4-3,L1,O1,afb3c8409b38fe4c9e7be0cec5a6cae2,2024-04-22 22:50:00+00:00,Tampa Bay Rays,Detroit Tigers,100.0, 0.50%, 0.48%
Toronto Blue Jays,Kikuchi (L),5,1-1,2.08,1.15,1-0,17.00,1.04,0.92,25,0,3-3,L1,O1,f8d7d00bfbe5c13ca697bb696e880969,2024-04-22 23:40:00+00:00,Kansas City Royals,Toronto Blue Jays,-115.0, 0.53%, 0.51%
Kansas City Royals,Singer (R),4,2-0,1.54,0.86,1-0,16.00,2.20,0.98,13,3,6-1,L2,U1,f8d7d00bfbe5c13ca697bb696e880969,2024-04-22 23:40:00+00:00,Kansas City Royals,Toronto Blue Jays,-105.0, 0.51%, 0.49%
Chicago White Sox,Cannon (R),4,0-0,1.80,0.80,0-0,5.00,1.80,0.80,3,0,1-7,L3,O2,2d531c1fa87707b86d27b5efc87e1bdf,2024-04-22 23:40:00+00:00,Minnesota Twins,Chicago White Sox,170.0, 0.37%, 0.35%
Minnesota Twins,Paddack (R),5,0-1,8.36,2.07,0-1,14.00,8.36,2.07,9,4,0-3,L1,U1,2d531c1fa87707b86d27b5efc87e1bdf,2024-04-22 23:40:00+00:00,Minnesota Twins,Chicago White Sox,-220.0, 0.69%, 0.65%
Baltimore Orioles,Suarez (R),4,0-0,0.00,0.53,0-0,5.00,0.00,0.53,4,0,3-1,W2,U1,77141ed74209c93101d7a84f30dbb721,2024-04-23 01:38:00+00:00,Los Angeles Angels,Baltimore Orioles,-110.0, 0.52%, 0.50%
Los Angeles Angels,Detmers (L),4,3-0,1.19,0.97,2-0,17.00,1.02,0.96,23,0,2-2,L4,U1,77141ed74209c93101d7a84f30dbb721,2024-04-23 01:38:00+00:00,Los Angeles Angels,Baltimore Orioles,-110.0, 0.52%, 0.50%
